"","X","CYCLE","STEP","VOLTAGE","CELL"
"9842",4124,4125,260,0.905631659056316,1
"9852",4134,4135,260,0.905631659056316,1
"9859",4141,4142,260,0.910197869101979,1
"9868",4150,4151,260,0.905631659056316,1
"9893",4175,4176,260,0.908675799086758,1
"9903",4185,4186,260,0.878234398782344,1
"9906",4188,4189,260,0.896499238964992,1
"9907",4189,4190,260,0.898021308980213,1
"9918",4200,4201,260,0.902587519025875,1
"9972",4254,4255,260,0.91324200913242,1
"9973",4255,4256,260,0.907153729071537,1
"9983",4265,4266,260,0.901065449010654,1
"10022",4304,4305,260,0.904109589041096,1
"10025",4307,4308,260,0.905631659056316,1
"10026",4308,4309,260,0.904109589041096,1
"10038",4320,4321,260,0.905631659056316,1
"10041",4323,4324,260,0.905631659056316,1
"10048",4330,4331,260,0.904109589041096,1
"10050",4332,4333,260,0.910197869101979,1
"10060",4342,4343,260,0.905631659056316,1
"10063",4345,4346,260,0.910197869101979,1
"10070",4352,4353,260,0.91324200913242,1
"10073",4355,4356,260,0.902587519025875,1
"10082",4364,4365,260,0.896499238964992,1
"10091",4373,4374,260,0.890410958904109,1
"10125",4407,4408,260,0.908675799086758,1
"10129",4411,4412,260,0.902587519025875,1
"10141",4423,4424,260,0.904109589041096,1
"10142",4424,4425,260,0.902587519025875,1
"10150",4432,4433,260,0.896499238964992,1
"10153",4435,4436,260,0.899543378995434,1
"10165",4447,4448,260,0.894977168949772,1
"10172",4454,4455,260,0.905631659056316,1
"10185",4467,4468,260,0.902587519025875,1
"10186",4468,4469,260,0.908675799086758,1
"10199",4481,4482,260,0.899543378995434,1
"10215",4497,4498,260,0.899543378995434,1
"10226",4508,4509,260,0.898021308980213,1
"10237",4519,4520,260,0.902587519025875,1
"10240",4522,4523,260,0.896499238964992,1
"10253",4535,4536,260,0.902587519025875,1
"10307",4589,4590,260,0.911719939117199,1
"10326",4608,4609,260,0.907153729071537,1
"10340",4622,4623,260,0.899543378995434,1
"10345",4627,4628,260,0.899543378995434,1
"10355",4637,4638,260,0.904109589041096,1
"10374",4656,4657,260,0.907153729071537,1
"10389",4671,4672,260,0.899543378995434,1
"10403",4685,4686,260,0.898021308980213,1
"10427",4709,4710,260,0.898021308980213,1
"10448",4730,4731,260,0.899543378995434,1
"10450",4732,4733,260,0.901065449010654,1
"10457",4739,4740,260,0.902587519025875,1
"10464",4746,4747,260,0.885844748858447,1
"10504",4786,4787,260,0.89193302891933,1
"10513",4795,4796,260,0.888888888888889,1
"10532",4814,4815,260,0.888888888888889,1
"10545",4827,4828,260,0.888888888888889,1
"10551",4833,4834,260,0.888888888888889,1
"10561",4843,4844,260,0.888888888888889,1
"10562",4844,4845,260,0.885844748858447,1
"10576",4858,4859,260,0.887366818873668,1
"10579",4861,4862,260,0.882800608828006,1
"10590",4872,4873,260,0.879756468797565,1
"10604",4886,4887,260,0.887366818873668,1
"10608",4890,4891,260,0.887366818873668,1
"10611",4893,4894,260,0.888888888888889,1
"10623",4905,4906,260,0.888888888888889,1
"10627",4909,4910,260,0.89193302891933,1
"10630",4912,4913,260,0.882800608828006,1
"10638",4920,4921,260,0.887366818873668,1
"10648",4930,4931,260,0.887366818873668,1
"10653",4935,4936,260,0.89193302891933,1
"10657",4939,4940,260,0.888888888888889,1
"10700",4982,4983,260,0.890410958904109,1
"10725",5007,5008,260,0.887366818873668,1
"10730",5012,5013,260,0.893455098934551,1
"10742",5024,5025,260,0.893455098934551,1
"10770",5052,5053,260,0.887366818873668,1
"10774",5056,5057,260,0.888888888888889,1
"10778",5060,5061,260,0.888888888888889,1
"10779",5061,5062,260,0.890410958904109,1
"10792",5074,5075,260,0.888888888888889,1
"10813",5095,5096,260,0.884322678843227,1
"10816",5098,5099,260,0.885844748858447,1
"10858",5140,5141,260,0.914764079147641,1
"10894",5176,5177,260,0.916286149162861,1
"10895",5177,5178,260,0.91324200913242,1
"10898",5180,5181,260,0.908675799086758,1
"10904",5186,5187,260,0.911719939117199,1
"10922",5204,5205,260,0.910197869101979,1
"10980",5262,5263,260,0.908675799086758,1
"10998",5280,5281,260,0.908675799086758,1
"11001",5283,5284,260,0.910197869101979,1
"11010",5292,5293,260,0.904109589041096,1
"11035",5317,5318,260,0.91324200913242,1
"11037",5319,5320,260,0.907153729071537,1
"11042",5324,5325,260,0.908675799086758,1
"11043",5325,5326,260,0.904109589041096,1
"11052",5334,5335,260,0.905631659056316,1
"11057",5339,5340,260,0.910197869101979,1
"11079",5361,5362,260,0.91324200913242,1
"11107",5389,5390,260,0.914764079147641,1
"11116",5398,5399,260,0.910197869101979,1
"11124",5406,5407,260,0.907153729071537,1
"11180",5462,5463,260,0.911719939117199,1
"11192",5474,5475,260,0.901065449010654,1
"11198",5480,5481,260,0.901065449010654,1
"11207",5489,5490,260,0.911719939117199,1
"11213",5495,5496,260,0.904109589041096,1
"11214",5496,5497,260,0.902587519025875,1
"11219",5501,5502,260,0.901065449010654,1
"11227",5509,5510,260,0.902587519025875,1
"11233",5515,5516,260,0.901065449010654,1
"11236",5518,5519,260,0.899543378995434,1
"11269",5551,5552,260,0.896499238964992,1
"11270",5552,5553,260,0.899543378995434,1
"11271",5553,5554,260,0.904109589041096,1
"11278",5560,5561,260,0.901065449010654,1
"11285",5567,5568,260,0.898021308980213,1
"11289",5571,5572,260,0.899543378995434,1
"11292",5574,5575,260,0.896499238964992,1
"11311",5593,5594,260,0.899543378995434,1
"11316",5598,5599,260,0.896499238964992,1
"11334",5616,5617,260,0.898021308980213,1
"11341",5623,5624,260,0.899543378995434,1
"11351",5633,5634,260,0.899543378995434,1
"11363",5645,5646,260,0.896499238964992,1
"11393",5675,5676,260,0.899543378995434,1
"11409",5691,5692,260,0.899543378995434,1
"11421",5703,5704,260,0.890410958904109,1
"11460",25,26,260,1.03139717425432,2
"11465",30,31,260,1.02825745682889,2
"11469",34,35,260,1.02511773940345,2
"11470",35,36,260,1.0298273155416,2
"11471",36,37,260,1.02354788069074,2
"11497",62,63,260,1.02354788069074,2
"11516",81,82,260,1.02040816326531,2
"11517",82,83,260,1.02197802197802,2
"11526",91,92,260,1.02668759811617,2
"11534",99,100,260,1.04238618524333,2
"11556",121,122,260,1.01883830455259,2
"11567",132,133,260,1.02197802197802,2
"11568",133,134,260,1.01726844583987,2
"11571",136,137,260,1.01726844583987,2
"11577",142,143,260,1.03139717425432,2
"11587",152,153,260,1.01883830455259,2
"11598",163,164,260,1.02825745682889,2
"11612",177,178,260,1.02668759811617,2
"11631",196,197,260,1.01883830455259,2
"11641",206,207,260,1.01883830455259,2
"11651",216,217,260,1.02040816326531,2
"11663",228,229,260,1.00470957613815,2
"11672",237,238,260,1.01726844583987,2
"11674",239,240,260,1.01726844583987,2
"11692",257,258,260,1.01255886970173,2
"11694",259,260,260,1.01569858712716,2
"11695",260,261,260,1.01726844583987,2
"11699",264,265,260,1.02197802197802,2
"11736",301,302,260,1.01255886970173,2
"11757",322,323,260,1.01412872841444,2
"11760",325,326,260,1.01412872841444,2
"11777",342,343,260,1.01098901098901,2
"11781",346,347,260,1.01255886970173,2
"11782",347,348,260,1.01569858712716,2
"11792",357,358,260,1.01098901098901,2
"11812",377,378,260,1.01412872841444,2
"11820",385,386,260,1.01412872841444,2
"11829",394,395,260,1.0094191522763,2
"11831",396,397,260,1.01412872841444,2
"11840",405,406,260,1.00784929356358,2
"11845",410,411,260,1.01098901098901,2
"11850",415,416,260,1.00784929356358,2
"11853",418,419,260,1.00784929356358,2
"11871",436,437,260,1,2
"11910",475,476,260,1.00156985871272,2
"11918",483,484,260,1.01098901098901,2
"11920",485,486,260,1.01098901098901,2
"11925",490,491,260,1.00784929356358,2
"11930",495,496,260,1.00156985871272,2
"11937",502,503,260,1.0094191522763,2
"11939",504,505,260,1.00313971742543,2
"11948",513,514,260,1.00470957613815,2
"11972",537,538,260,1.0094191522763,2
"11984",549,550,260,1.00470957613815,2
"11986",551,552,260,1,2
"11990",555,556,260,1.00156985871272,2
"11992",557,558,260,1.0094191522763,2
"12006",571,572,260,1.00156985871272,2
"12021",586,587,260,1.00470957613815,2
"12025",590,591,260,1.00313971742543,2
"12028",593,594,260,1.00784929356358,2
"12030",595,596,260,1.0094191522763,2
"12037",602,603,260,0.998430141287284,2
"12062",627,628,260,1.00313971742543,2
"12067",632,633,260,1.00470957613815,2
"12068",633,634,260,1.00313971742543,2
"12069",634,635,260,1.00470957613815,2
"12070",635,636,260,1.00784929356358,2
"12071",636,637,260,1.01255886970173,2
"12084",649,650,260,1.00156985871272,2
"12107",672,673,260,1.00313971742543,2
"12144",709,710,260,1.00627943485086,2
"12159",724,725,260,1.01883830455259,2
"12171",736,737,260,1.01569858712716,2
"12184",749,750,260,1.01569858712716,2
"12190",755,756,260,1.01569858712716,2
"12193",758,759,260,1.01569858712716,2
"12199",764,765,260,1.0094191522763,2
"12203",768,769,260,1.01412872841444,2
"12204",769,770,260,1.01412872841444,2
"12219",784,785,260,1.01412872841444,2
"12225",790,791,260,1.01726844583987,2
